Date/Time,mean_water_velocity_ft/s,gage_height_ft,discharge_ft3/s
08/04/2015 16:45   CDT,0.83,5.53,743
08/04/2015 17:00   CDT,0.85,5.52,764
08/04/2015 17:15   CDT,0.80,5.52,719
08/04/2015 17:30   CDT,0.83,5.52,742
08/04/2015 17:45   CDT,0.84,5.51,756
08/04/2015 18:00   CDT,0.87,5.50,778
08/04/2015 18:15   CDT,0.86,5.50,770
08/04/2015 18:30   CDT,0.87,5.50,778
08/04/2015 18:45   CDT,0.84,5.49,747
08/04/2015 19:00   CDT,0.87,5.49,777
08/04/2015 19:15   CDT,0.89,5.48,799
08/04/2015 19:30   CDT,0.87,5.48,776
08/04/2015 19:45   CDT,0.88,5.47,783
08/04/2015 20:00   CDT,0.89,5.47,790
08/04/2015 20:15   CDT,0.87,5.46,775
08/04/2015 20:30   CDT,0.89,5.46,789
08/04/2015 20:45   CDT,0.87,5.45,774
08/04/2015 21:00   CDT,0.89,5.44,788
08/04/2015 21:15   CDT,0.90,5.44,803
08/04/2015 21:30   CDT,0.88,5.43,780
08/04/2015 21:45   CDT,0.85,5.43,757
08/04/2015 22:00   CDT,0.90,5.42,801
08/04/2015 22:15   CDT,0.92,5.41,815
08/04/2015 22:30   CDT,0.92,5.41,815
08/04/2015 22:45   CDT,0.89,5.40,792
08/04/2015 23:00   CDT,0.89,5.39,791
08/04/2015 23:15   CDT,0.90,5.39,798
08/04/2015 23:30   CDT,0.88,5.38,775
08/04/2015 23:45   CDT,0.92,5.38,812
08/05/2015 00:00   CDT,0.96,5.37,848
08/05/2015 00:15   CDT,0.98,5.36,862
08/05/2015 00:30   CDT,0.92,5.36,811
08/05/2015 00:45   CDT,0.94,5.35,832
08/05/2015 01:00   CDT,0.92,5.34,809
08/05/2015 01:15   CDT,0.92,5.34,809
08/05/2015 01:30   CDT,0.91,5.34,802
08/05/2015 01:45   CDT,0.93,5.33,815
08/05/2015 02:00   CDT,0.94,5.33,823
08/05/2015 02:15   CDT,0.90,5.33,793
08/05/2015 02:30   CDT,0.89,5.34,787
08/05/2015 02:45   CDT,0.86,5.34,757
08/05/2015 03:00   CDT,0.89,5.34,779
08/05/2015 03:15   CDT,0.94,5.36,833
08/05/2015 03:30   CDT,0.91,5.37,804
08/05/2015 03:45   CDT,0.84,5.38,738
08/05/2015 04:00   CDT,0.82,5.39,724
08/05/2015 04:15   CDT,0.81,5.40,718
08/05/2015 04:30   CDT,0.82,5.41,726
08/05/2015 04:45   CDT,0.83,5.41,733
08/05/2015 05:00   CDT,0.82,5.42,727
08/05/2015 05:15   CDT,0.81,5.43,720
08/05/2015 05:30   CDT,0.79,5.43,698
08/05/2015 05:45   CDT,0.80,5.44,713
08/05/2015 06:00   CDT,0.85,5.44,758
08/05/2015 06:15   CDT,0.84,5.43,742
08/05/2015 06:30   CDT,0.87,5.43,772
08/05/2015 06:45   CDT,0.79,5.43,698
08/05/2015 07:00   CDT,0.81,5.43,720
08/05/2015 07:15   CDT,0.84,5.43,750
08/05/2015 07:30   CDT,0.87,5.43,772
08/05/2015 07:45   CDT,0.89,5.43,787
08/05/2015 08:00   CDT,0.86,5.42,764
08/05/2015 08:15   CDT,0.82,5.42,727
08/05/2015 08:30   CDT,0.85,5.42,756
08/05/2015 08:45   CDT,0.89,5.41,793
08/05/2015 09:00   CDT,0.87,5.40,770
08/05/2015 09:15   CDT,0.88,5.41,778
08/05/2015 09:30   CDT,0.87,5.40,770
08/05/2015 09:45   CDT,0.90,5.39,798
08/05/2015 10:00   CDT,0.85,5.39,754
08/05/2015 10:15   CDT,0.86,5.39,761
08/05/2015 10:30   CDT,0.92,5.38,812
08/05/2015 10:45   CDT,0.89,5.37,782
08/05/2015 11:00   CDT,0.86,5.37,760
08/05/2015 11:15   CDT,0.90,5.37,797
08/05/2015 11:30   CDT,0.84,5.37,745
08/05/2015 11:45   CDT,0.87,5.36,766
08/05/2015 12:00   CDT,0.85,5.35,751
08/05/2015 12:15   CDT,0.87,5.34,765
08/05/2015 12:30   CDT,0.87,5.33,764
08/05/2015 12:45   CDT,0.89,5.35,780
08/05/2015 13:00   CDT,0.89,5.34,779
08/05/2015 13:15   CDT,0.88,5.34,772
08/05/2015 13:30   CDT,0.90,5.34,794
08/05/2015 13:45   CDT,0.91,5.34,802
08/05/2015 14:00   CDT,0.84,5.34,743
08/05/2015 14:15   CDT,0.84,5.35,736
08/05/2015 14:30   CDT,0.87,5.34,765
08/05/2015 14:45   CDT,0.82,5.36,722
08/05/2015 15:00   CDT,0.81,5.37,716
08/05/2015 15:15   CDT,0.83,5.36,730
08/05/2015 15:30   CDT,0.81,5.38,716
08/05/2015 15:45   CDT,0.83,5.38,731
08/05/2015 16:00   CDT,0.81,5.38,716
08/05/2015 16:15   CDT,0.83,5.39,732
08/05/2015 16:30   CDT,0.79,5.40,696
08/05/2015 16:45   CDT,0.79,5.41,696
08/05/2015 17:00   CDT,0.79,5.41,704
08/05/2015 17:15   CDT,0.79,5.42,697
08/05/2015 17:30   CDT,0.81,5.42,719
08/05/2015 17:45   CDT,0.75,5.42,667
08/05/2015 18:00   CDT,0.79,5.42,705
08/05/2015 18:15   CDT,0.79,5.42,705
08/05/2015 18:30   CDT,0.83,5.42,734
08/05/2015 18:45   CDT,0.86,5.42,764
08/05/2015 19:00   CDT,0.83,5.42,734
08/05/2015 19:15   CDT,0.83,5.41,733
08/05/2015 19:30   CDT,0.81,5.39,717
08/05/2015 19:45   CDT,0.82,5.40,725
08/05/2015 20:00   CDT,0.85,5.40,755
08/05/2015 20:15   CDT,0.85,5.40,755
08/05/2015 20:30   CDT,0.91,5.39,806
